DEEDED_ACREAGE,TOTAL_SALE_PRICE,HEATED_AREA
0.6,18000,1479
0.6,18000,4889
0.6,18000,2471
0.49,287000,3600
0.48,32000,1408
1.28,0,0
0.65,340000,1591
0.32,48000,2114
0.26,88000,1520
0.43,24500,2519
0.74,94000,1570
0.48,0,1753
2.09,0,3656
1.07,0,0
2.53,15000,0
0.45,0,1339
0.51,47500,1500
0.25,148500,1075
1.04,37000,2025
0.46,100000,1439
0.33,170000,1483
0.89,57000,4505
0.47,129000,1662
0.79,1500,2591
0.82,146500,2428
0.88,30500,1128
0.47,346500,2717
0.04,195000,2113
0.4,928000,5281
1.62,0,2321
0.36,119500,1476
0.42,150000,2408
0.78,0,2231
1.17,80000,900
0.2,260000,962
0.54,23000,1500
0.21,262000,1704
0.14,515000,2820
0.36,92000,1606
0.46,460000,3240
0.45,128000,1697
1.09,0,1740
0.92,200000,2035
0.18,0,2139
0.84,117000,1830
1.08,0,0
0.35,0,1798
0.24,0,1160
0.28,200000,1690
2.3,0,0
0.54,0,0
1.24,0,5611
0.56,0,14490
0.23,0,4037
0.22,0,0
0.35,105000,1000
0.44,0,1589
0.45,0,1960
0.41,262000,2561
0.41,27500,1248
1.43,0,1421
1.6,0,5102
2.93,0,0
0.42,150000,2006
0.82,0,1861
0.71,0,0
1.08,925000,7860
0.51,0,3312
4.33,0,0
0.57,369500,2468
0.48,164500,1371
0.44,0,12112
0.4,0,2570
0.18,0,0
1.3,0,339228
0.1,0,0
0.33,105000,1507
0.76,0,20812
0.34,260000,1862
0.24,430000,4740
2.65,0,7200
2.65,0,3730
0.43,48000,1726
0.39,42500,1655
0.69,775000,17160
0.57,0,1980
1,129000,1462
0.14,300000,1113
0.41,805000,3562
0.61,457500,3743
6,3000000,35236
6,3000000,4410
0.48,0,3706
0.94,168000,1308
0.35,105000,1558
0.3,230000,3692
0.24,0,2752
0.2,345000,1321
0.31,0,1064
0.16,0,0
0.06,0,0
0.12,0,884
88.48,0,1176
6.02,15500000,24006
6.02,15500000,27850
6.02,15500000,1092
0.27,0,1443
0.29,0,1350
1.68,0,1404
0.53,1000,0
0.24,0,0
0.18,190000,1275
0.22,30000,1022
0.33,140000,2400
0.46,104000,1522
0.46,92500,1972
0.33,1105000,3677
0.68,55000,0
0.49,33500,1465
0.44,165000,1479
0.44,113500,2556
0.81,226500,4071
0.14,198500,1215
0.33,152000,1894
0.31,415000,2636
1.08,0,0
0.45,0,1500
0.25,88500,1390
1.02,257500,2426
1.19,99000,23750
0.33,180000,2205
1.3,0,2604
0.47,0,1704
0.79,240000,2673
0.05,51000,4500
0.1,0,0
0.38,0,0
0.29,240000,2992
0.33,65000,1040
0.96,0,0
0.58,42000,1798
1.23,0,0
0.21,125000,1144
0.33,95000,1716
0.35,12000,1400
1.13,101000,1680
0.21,28000,768
0.46,0,1532
0.46,0,1328
0.46,75000,1579
1,0,1272
1.28,147000,1330
0.46,35000,875
0.22,65500,1012
5.35,0,0
0.28,0,1425
0.19,12500,1220
0.26,0,978
0.24,148000,1491
0.32,157000,2612
1,120000,1596
0.34,350000,0
0.2,12500,1344
0.46,97000,1040
2,0,1442
0.27,0,1470
0.49,139000,1928
0.24,39000,1325
0.46,103000,1182
0.92,3000,1402
0.56,0,0
0.47,50000,2025
0.26,32500,2086
0.39,100000,1175
0.24,0,2090
0.53,105000,1400
0.28,225000,2292
0.2,72500,1188
0.41,120000,0
0.22,179000,1012
0.31,109000,1959
0.18,1000,0
0.65,76500,3526
0.94,240000,2524
0.43,128500,2186
0.51,0,2170
0.2,67000,755
0.41,194500,2619
0.42,0,1325
0.31,477000,1963
27.92,15000,0
4.49,0,1004
0.18,97000,1077
0.63,142500,4384
0.63,142500,3600
