PHYSICAL_CITY,DEEDED_ACREAGE,TOTAL_SALE_PRICE,HEATED_AREA
FUQUAY VARINA,0.21,146500,1104
FUQUAY VARINA,0.39,91000,1871
HOLLY SPRINGS,27.88,0,0
FUQUAY VARINA,66.55,0,0
HOLLY SPRINGS,25,0,1721
FUQUAY VARINA,165.55,0,2056
FUQUAY VARINA,83,0,0
FUQUAY VARINA,0.3,59000,1317
RALEIGH,0.13,52000,0
RALEIGH,0.13,165000,1104
WENDELL,0.63,0,2840
RALEIGH,0.28,116500,1050
RALEIGH,0.37,240000,2424
RALEIGH,2.26,485000,4997
RALEIGH,0.33,220000,2752
RALEIGH,0.62,175000,1856
RALEIGH,0.29,160000,2064
RALEIGH,0.62,174500,2913
RALEIGH,0.22,565000,2176
RALEIGH,0.54,4500,1092
CARY,0.48,163000,1230
RALEIGH,0.47,310000,1930
RALEIGH,6.77,1351000,10000
RALEIGH,0.58,15000,1318
RALEIGH,2.01,1000,0
RALEIGH,0.21,55000,744
RALEIGH,0.25,314000,1685
CARY,0.41,35000,2211
GARNER,6.36,149000,2436
GARNER,0.44,0,1537
RALEIGH,0.45,98000,1170
RALEIGH,0.22,133000,1335
CARY,1.1,250000,2957
RALEIGH,0.32,325000,1972
CARY,10,0,88616
CARY,10,0,28091
RALEIGH,2.23,0,0
RALEIGH,0.19,0,0
RALEIGH,0.28,0,0
RALEIGH,0.31,0,0
RALEIGH,0.66,0,0
RALEIGH,0.3,235000,1600
RALEIGH,0.37,167000,1600
RALEIGH,0.3,182000,1456
RALEIGH,0.27,83500,1575
RALEIGH,0.35,154000,1687
RALEIGH,0.39,160000,1725
RALEIGH,0.44,243000,2250
RALEIGH,0.42,356000,2506
RALEIGH,0.28,0,1687
RALEIGH,0.31,70000,1687
RALEIGH,0.33,29000,1575
RALEIGH,0.4,184500,1575
RALEIGH,0.48,199000,1687
RALEIGH,0.36,115000,1212
RALEIGH,0.39,123000,1456
RALEIGH,0.46,29000,1575
RALEIGH,0.33,170000,1716
RALEIGH,0.28,61500,2200
RALEIGH,0.27,32000,2012
RALEIGH,0.24,205000,1712
RALEIGH,0.21,202000,1600
RALEIGH,0.25,157000,1575
RALEIGH,0.29,107000,1926
RALEIGH,0.39,59500,1668
